id,latitude,longitude,propertyType,priceChangePercentTotal,energyClass,price,rooms,size,lotSize,floor,buildYear,city,zipCode,street,squaremeterPrice,basementSize
1825066,55.66232,12.60546,3,0,D,2495000,2,50,0,1,1940,København S,2300,"Reberbanegade 17, 1. th.",49900,0
1824814,55.69662,12.53995,3,0,D,2745000,2,52,0,,1935,København N,2200,"Sandbjerggade 48, st.. tv. Høj Stue.",52788,0
1824882,55.69277,12.54531,3,0,C,2750000,1,57,0,4,1962,København N,2200,Bjelkes Allé 12  4. 1.,48245,0
1824818,55.66522,12.5949,3,0,C,3195000,2,71,0,,1914,København S,2300,"Amagerfælledvej 31, st.. th.",45000,0
1825002,55.70366,12.58667,3,0,C,3450000,2,52,0,1,1902,København Ø,2100,"Marstalsgade 18, 1. TH",66346,0
1825106,55.62332,12.56957,2,0,I,3750000,3,79,0,,2020,København S,2300,Ejler Billes Allé 72,47468,0
1824733,55.62241,12.5682,3,0,A,3998000,3,87,0,2,2023,København S,2300,"Else Alfelts Vej 26, 2. 2.",45954,0
1824754,55.64534,12.59041,1,-5,A,3999000,3,105,353,,1965,København S,2300,"Safirgangen 101, Hf. Sundbyvester",38085,0
1825003,55.64938,12.61337,3,0,D,4195000,4,84,0,,1903,København S,2300,"Fremads Allé 4, st.",49940,54
1824819,55.6622,12.59612,3,0,D,4295000,4,98,0,,1914,København S,2300,"Sundholmsvej 27, st.. th.",43826,0
1825076,55.66386,12.61089,3,0,C,4295000,3,91,0,,2006,København S,2300,"Lyneborggade 25, st. th.",47197,0
1824820,55.63585,12.6043,1,0,D,4395000,3,95,688,,1961,Kastrup,2770,Randkløve Alle 22,46263,0
1824815,55.66775,12.53556,3,0,I,4595000,2,72,0,3,2018,København V,1799,"Constantin Hansens Gade 14, 3. mf.",63819,0
1825084,55.63256,12.64828,1,0,F,4895000,3,91,640,,1948,Kastrup,2770,Oberst Kochs Alle 25,53791,91
1825005,55.5748,12.61845,1,0,C,5195000,7,221,1050,,1974,Dragør,2791,Søvej 6,23506,0
1825004,55.70958,12.56593,3,0,C,5495000,4,86,0,5,1930,København Ø,2100,"Ourøgade 31, 5.",63895,0
1825108,55.70423,12.48477,1,0,D,5495000,5,118,730,,1925,Brønshøj,2700,Veksøvej 35,46567,0
1825036,55.6987,12.59393,3,0,B,5795000,3,95,0,6,2007,København Ø,2100,Amerika Plads 8  6. th.,61000,0
1825103,55.71193,12.5603,3,0,C,6200000,5,154,0,3,1927,København Ø,2100,"Lyngbyvej 70, 3 th",40259,0
1824817,55.67285,12.55451,5,0,D,6459600,5,155,954,3,1885,København V,1617,"Bagerstræde 3, 3. tv.",0,774
1825023,55.63819,12.61959,1,0,D,6995000,5,167,600,,1934,Kastrup,2770,Blåregn Alle 7,41886,107
1825079,55.66689,12.54687,3,0,D,6995000,5,107,0,1,1901,København V,1670,"Enghave Plads 7, 1. tv.",65373,0
1825078,55.66368,12.53559,3,0,J,10995000,5,185,0,9,2018,København V,1799,"Bohrsgade 2, 9. 3.",59432,0
1825110,55.59336,12.67095,1,0,D,12000000,6,229,318,,1760,Dragør,2791,Strandgade 2,52401,0
1824727,55.65633,12.61048,3,0,C,2695000,2,61,0,1,1934,København S,2300,"Hveensvej 10, 1. tv.",44180,0
1824703,55.62071,12.60184,1,0,D,4295000,4,112,660,,1962,Kastrup,2770,Avlum Alle 6,38348,0
1824701,55.66074,12.61451,3,0,c,5495000,4,120,0,1,1933,København S,2300,"Øresundsvej 55A, 1.",45791,0
1824729,55.70246,12.49797,3,-5,D,5695000,6,166,0,,1934,Brønshøj,2700,"Brønshøjvej 11, st. tv",34307,23
1824711,55.58293,12.65582,2,0,J,6995000,4,135,157,,2019,Dragør,2791,Vierdiget 92,51814,0
1824695,55.66394,12.628,3,0,B,8500000,3,130,0,4,2003,København S,2300,"Øresund Parkvej 4, 4. th.",65384,0
1824696,55.6737,12.53822,3,0,C,8500000,4,100,0,2,1860,Frederiksberg C,1812,"Kochsvej 3, 2.",85000,0
1824656,55.66789,12.57997,3,0,B,8750000,4,143,0,4,2006,København S,2300,"Thorshavnsgade 17, 4. tv.",61188,0
1824173,55.59504,12.65068,4,0,-,1599000,3,44,295,,1975,Dragør,2791,Hf. Maglebylund 111,36340,0
1824589,55.68079,12.48626,3,0,D,1695000,2,37,0,1,1957,Vanløse,2720,"Vinkelager 15, 1 mf",45810,0
1824466,55.71632,12.46063,3,0,D,2595000,3,63,0,2,1954,Brønshøj,2700,"Frederikssundsvej 406, 2. tv.",41190,0
